REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;Data_Descredenciamento;Motivo_do_Descredenciamento
"419362";"03897847000109";"MASSA FALIDA DE HOSPITAL BOM SAMARITANO S/S LTDA";"HOSPITAL BOM SAMARITANO";"Medicina de Grupo";"RODOVIA SP 332, KM 152,5";"S/N";;"JARDIM BLUMENAU";"Artur Nogueira";"SP";"13160000";"19";"38275232";;"SIDNEY@BOMSAMARITANO.COM.BR";"FABIANO FABRI BAYARRI";"Liquidante Extrajudicial";4;"2014-05-05";"2023-12-20";"Liquidação Extrajudicial"
"335851";"02849078000100";"MASSA FALIDA DE IMPERATRIZ SAÚDE LTDA.";"IMPERATRIZ SAÚDE";"Medicina de Grupo";"RUA LUIS DOMINGUES ";"1415";;"CENTRO";"Imperatriz";"MA";"65901430";"99";"35253343";"35253343";"flopeshcsaude@hotmail.com";"CRISTIANA ARAGÃO MARQUES CORREIA LIMA";"LIQUIDANTE EXTRAJUDICIAL";6;"1998-12-23";"2020-01-08";"Liquidação Extrajudicial"
"411744";"03883587000112";"MASSA FALIDA DE INTERHOSPITAIS OPERADORA DE PLANOS DE SAUDE LTDA.";"IH SAÚDE";"Medicina de Grupo";"AV. DOM JOÃO VI";"1620";;"BROTAS";"Salvador";"BA";"40285001";"071";"22027777";"22027785";"ihsaude@ihsaude.com.br";"ALCYR GOMES BARBOSA";"DIRETOR SUPERINTENDENTE";5;"2000-07-21";"2010-02-03";"Liquidação Extrajudicial"
"401340";"02995995000101";"MASSA FALIDA DE INVESTIGAR SISTEMA DE SAÚDE LTDA.";"SAMP - FRANQUIA";"Medicina de Grupo";"AV. FRANÇA";"164";;"COMERCIO";"Salvador";"BA";"40010000";"71";"34229094";"32419408";"investiba@terra.com.br";"LUIZ ROBERTO FRANCA CONRADO";"DIRETOR MEDICO";2;"1999-03-03";"2006-09-29";"Liquidação Extrajudicial"
"404535";"02944168000180";"MASSA FALIDA DE ISOMEDIC ADMINISTRADORA DE PLANOS DE SAÚDE LTDA. ";"SAUDE 24 HORAS";"Medicina de Grupo";"AVENIDA IRMÃOS GUINLE";"1003";"SALA 06";"CENTRO";"Queimados";"RJ";"26323130";"021";"32773380";"32773393";"cbnassessoria@hotmail.com";"VAGNER JOSE FERREIRA GUEDES";"DIRETOR EXECUTIVO";6;"1999-05-26";"2010-03-18";"Liquidação Extrajudicial"
"320889";"01560138000108";"MASSA FALIDA DE ITALICA SAÚDE LTDA";"ITALICA SAUDE";"Medicina de Grupo";"RUA DAMIÃO FERNANDES";"108";;"VILA SARGENTO JOSÉ DE PAULA";"São Paulo";"SP";"06404000";"11";"30684422";"30823859";"contabilidade@italicasaude.com.br";"GUILHERMINA ESTER BAYA";"DIRETORA";4;"1998-12-28";"2013-09-10";"Liquidação Extrajudicial"
"404918";"27969732000140";"MASSA FALIDA DE MAAS - CORRETORA DE PLANOS DE SAÚDE";"MAAS - CORRETORA";"Medicina de Grupo";"AV. 7 DE MAIO";"702";"SALA 204";"CENTRO";"Rio Bonito";"RJ";"28800000";"21";"22841616";;"gerencia@reallife.com.br";"MARIA NATIVIDADE SANTOS";"GERENTE";4;"1999-06-10";"2011-03-24";"Liquidação Extrajudicial"
"341550";"56336183000175";"MASSA FALIDA DE MAM MONTREAL ASSISTÊNCIA MÉDICA S/C LTDA";"MAM MONTREAL ASSISTENCIA MEDICA S/C LTDA";"Medicina de Grupo";"AV. BRIGADEIRO MANOEL RODRIGUES JORDÃO";"972";;"JARDIM SILVEIRA";"Barueri";"SP";"06433010";"01";"136519121";;"drleme@grupomontreal.com.br";"LUIZ ANTONIO DA SILVA LEME";"DIRETOR";6;"1998-12-21";"2011-11-08";"Liquidação Extrajudicial"
"358037";"00622220000157";"MASSA FALIDA DE MASTER ADMINISTRAÇÃO DE PLANOS DE SAÚDE LTDA.";"LINK SAÚDE";"Medicina de Grupo";"AVENIDA IBIRAPUERA";"2033";"8º A - CONJ. 82";"INDIANOPOLIS";"São Paulo";"SP";"04029100";"11";"21664666";"21664666";"tannous@uol.com.br";"WASFI MUSSA TANNOUS HANNA";"SÓCIO ADMINISTRADOR";4;"1998-12-21";"2009-02-16";"Liquidação Extrajudicial"
"340561";"41950866000140";"MASSA FALIDA DE MASTER CLEAN ASSISTÊNCIA MÉDICA LTDA";"MASTER CLEAN ASSISTÊNCIA MÉDICA LTDA";"Medicina de Grupo";"RUA MARECHAL DEODORO";"230";"SALA 301";"CENTRO";"Juiz de Fora";"MG";"36010012";"32";"32175423";"32169385";"batcont@hotmail.com";"MARCOS TADEU BATISTA SOARES";"SOCIO ADMINISTRADOR";6;"1999-01-04";"2012-09-26";"Liquidação Extrajudicial"
"357014";"00909660000190";"MASSA FALIDA DE MASTER PAX SAÚDE ASSISTÊNCIA MÉDICA E ASSISTÊNCIA ODONTOLÓGICA LTDA.";"MASTER PAX SAÚDE";"Medicina de Grupo";"RUA DA BAHIA";"360";"10º  ANDAR ";"CENTRO";"Belo Horizonte";"MG";"30190960";"71";"38251441";"38251441";;"RONALDO GARCIA DA ROCHA";;;"1998-12-30";"2014-12-08";"Liquidação Extrajudicial"
"345687";"02882429000185";"MASSA FALIDA DE MASTER PLAN ASSISTENCIA MEDICA LTDA";"MASTER PLAN ASSISTENCIA MEDICA LTDA.";"Medicina de Grupo";"PRAÇA JOÃO PESSOA";"11";;"CARMO";"Olinda";"PE";"53120500";"81";"21020400";"34234800";"mastergerencia@terra.com.br";"RICARDO JOSE HAZIN ASFORA";"PROCURADOR";6;"1998-12-21";"2005-08-22";"Liquidação Extrajudicial"
"378577";"55516249000146";"MASSA FALIDA DE MB ASSISTENCIA MEDICA S/C LTDA. ";"MB ASSISTENCIA MEDICA S/C LTDA";"Medicina de Grupo";"RUA CORONEL DE OLIVEIRA LIMA ";"449";"9º ANDAR - CONJ. 91/92";"CENTRO";"Santo André";"SP";"09010000";"011";"44365393";;"nair@maef.com.br";"MAURO VASCONCELOS DE MOURA";"SOCIO-DIRETOR";;"1998-12-29";"2009-04-17";"Liquidação Extrajudicial"
"362026";"90936568000101";"MASSA FALIDA DE MC CLÍNICAS LTDA.";"MC CLÍNICAS LTDA.";"Medicina de Grupo";"R GUILHERME LAHM";"1470";"SALAS 1 A 3";"CENTRO";"Taquara";"RS";"95600000";"05";"15424315";"15415634";"mcclinicas@tca.com.br";"MIGUEL MARIANTE COELHO";"DIRETOR";6;"1998-12-29";"2009-11-18";"Liquidação Extrajudicial"
"412333";"03945993000162";"MASSA FALIDA DE MED PLUS SAÚDE LTDA";;"Medicina de Grupo";"AVENIDA AFONSO PENA";"748";"SALA 1209";"CENTRO";"Belo Horizonte";"MG";"30130003";"31";"32412424";"32412039";"contabilidadeunipax@yahoo.com.br";"LEANDRO ALVES LINHARES";"DIRETOR";4;"2000-09-28";"2011-11-21";"Liquidação Extrajudicial"
"419320";"19240166000103";"MASSA FALIDA DE MEDICAL BRASIL ASSISTÊNCIA MÉDICA LTDA ";"MEDICAL BRASIL";"Medicina de Grupo";"RUA ACADÊMICO WALTER GONÇALVES";"01";"SOBRELOJA 208";"CENTRO";"Niterói";"RJ";"24020090";"21";"31729797";;"MEDICALRIO@MEDICALRIO.COM";;;6;"2014-03-21";"2019-08-15";"Liquidação Extrajudicial"
"337781";"52565587000180";"MASSA FALIDA DE MEDICAL HEALTH OPERADORA DE PLANOS DE ASSISTÊNCIA MÉDICA E ODONTOLÓGICA LTDA";"GOLDEN LIFE ASSISTÊNCIA MÉDICA E ODONTOLÓGICA";"Medicina de Grupo";"AVENIDA DR. ANTONIO ÁLVARO";"286";;"VILA ASSUNÇÃO";"Santo André";"SP";"09030520";;"033124111";"033124831";"goldenlife@hotmail.com";"JÚLIO CEZAR HENRIQUES CARVALHO";"SÓCIO ADMINISTRADOR";5;"1999-01-29";"2013-10-09";"Liquidação Extrajudicial"
"401803";"68324763000121";"MASSA FALIDA DE MEDLINE ASSISTENCIA MEDICA S/C LTDA";"MEDLINE";"Medicina de Grupo";"R GENERAL OSORIO";"1162";;"CENTRO";"Ribeirão Preto";"SP";"14010000";"16";"36250769";"166250954";"med-line@netsite.com.br";"JOSE HUMBERTO FERREIRA DE OLIVEIRA";"SOCIO GERENTE";6;"1999-03-11";"2006-09-22";"Liquidação Extrajudicial"
"408476";"03126982000150";"MASSA FALIDA DE MEDSAUDE ASSISTENCIA MEDICA LTDA ";"MEDSAUDE ASSISTÊNCIA MÉDICA LTDA";"Medicina de Grupo";"RUA CONDE DE PORTO ALEGRE";"04";;"FLORESTA";"Porto Alegre";"RS";"90220210";"51";"32216666";"32216666";"zani@cpovo.net";"RUBENS FERNANDES CHAVES";"DIRETOR";3;"1999-09-27";"2010-09-15";"Liquidação Extrajudicial"
"303364";"59018945000183";"MASSA FALIDA DE MICROMED ASSISTÊNCIA MÉDICA LTDA";"MICROMED";"Medicina de Grupo";"RUA TIRADENTES";"446";"6º ANDAR";"GUANABARA";"Campinas";"SP";"13023190";"19";"37314411";"37314422";"micromed@sabin.com.br";"SERGIO RICARDO MONTEIRO";"REPRESENTANTE";5;"1998-12-18";"2012-08-07";"Liquidação Extrajudicial"
"411361";"03605703000131";"MASSA FALIDA DE MILLENNIUM SAUDE LTDA";"MILLENNIUM SAUDE LTDA";"Medicina de Grupo";"RUA BELO HORIZONTE";"148";;"BARRA";"Salvador";"BA";"40140380";"51";"32129901";;;"BRIAN REDMAN SHEAKISPEARE E SILVA DE OLIVEIRA";"SÓCIO GERENTE";;"2000-05-17";"2006-08-17";"Liquidação Extrajudicial"
"382868";"96828751000170";"MASSA FALIDA DE MILMED ADMINISTRADORA DE SERVIÇOS MÉDICOS LTDA.";"MILMED ASSISTÊNCIA MÉDICA";"Medicina de Grupo";"AV ANTONIO CARLOS MAGALHÃES, ED BAHIA CE";"2671";;"PITUBA";"Salvador";"BA";"40286900";"71";"33523100";"33523106";"comercial@milmed.com.br";"MISAEL GOMES ARAÚJO";"DIRETOR ADMINISTRATIVO";5;"1998-12-30";"2012-11-19";"Liquidação Extrajudicial"
"411086";"02493426000150";"MASSA FALIDA DE MINAS CENTER MED LTDA ";"CENTERMED";"Medicina de Grupo";"RUA DOS INGÁS";"43";;"ELDORADO";"Contagem";"MG";"32315120";"31";"33591600";"33591609";"centermed@center.med.br";"SÉRGIO MAURO DE FREITAS";"SÓCIO ADMINISTRADOR";3;"2000-02-21";"2015-12-02";"Liquidação Extrajudicial"
"369187";"72087455000105";"MASSA FALIDA DE MMS PLANO DE SAÚDE LTDA";"MMS SAÚDE LTDA";"Medicina de Grupo";"RUA SAPUCAIA";"16";"LOJA 07";"CENTRO";"Paulista";"PE";"53401500";"81";"30731000";"32173317";"simone.freitas@mmssaude.com.br";"INALUCE SIMONE BATISTA MARINHO";"REPRESENTANTE LEGAL";5;"1998-12-28";"2012-06-18";"Liquidação Extrajudicial"
"402851";"02026403000135";"MASSA FALIDA DE MULTI SERVICOS APOIO ADMINISTRATIVO LTDA";"MULTI-SAÚDE";"Medicina de Grupo";"RUA 200 C/ 300 QD 3-B";"LTS 1/4";"SL 121 - CONDOMÍNIO EMPRESARIAL VILLAGE";"CIDADE VERA CRUZ";"Aparecida de Goiânia";"GO";"74935900";"62";"32434000";"622434040";"multisaude@multisaudeap.com.br";"MARIA SOCORRO DE OLIVEIRA BARBOSA";"LIQUIDANTE EXTRAJUDICIAL";6;"1999-03-31";"2022-05-19";"Liquidação Extrajudicial"
"331490";"10364370000161";"MASSA FALIDA DE MULTICLÍNICAS ASSIST.MED. CIRURG. E HOSP. LTDA";"MULTICLÍNICAS ";"Medicina de Grupo";"RUA DE SÃO PANTALEÃO";"412";;"CENTRO";"São Luís";"MA";"65015460";"98";"38781000";"32318343";"multiclinicas@multiclinicas-ma.com.br";"JOSÉ LUIS JALDIN ROJAS";"SÓCIO ADMINISTRADOR";6;"1999-01-05";"2014-02-25";"Liquidação Extrajudicial"
"406716";"03186532000153";"MASSA FALIDA DE NEW LIFE - ASSISTÊNCIA MÉDICA LTDA. ";"NEW LIFE - ASSISTÊNCIA MÉDICA LTDA.";"Medicina de Grupo";"PRAÇA DA INDEPENDÊNCIA";"09";;"TAMBIÁ";"João Pessoa";"PB";"58013490";"83";"2214519";"2214519";;"VÂNIA BARRETO COSTA";"SÓCIA-GERENTE";;"1999-07-27";"2008-07-21";"Liquidação Extrajudicial"
"356280";"78053246000119";"MASSA FALIDA DE ODOMED CLÍNICA MÉDICO ODONTOLOGICA SC LTDA";"ODOMED";"Medicina de Grupo";"Rua Prof. Fernando Moreira";"368";;"CENTRO";"Curitiba";"PR";"80410120";"41";"2233610";"2231781";;"LUIS CARLOS REIS JUNIOR";"SÓCIO GERENTE";;"1998-12-28";"2005-02-03";"Liquidação Extrajudicial"
"413666";"01261578000164";"MASSA FALIDA DE ODONTO SUL LTDA";"ODONTO FAMA";"Odontologia de Grupo";"RUA DONA FRANCISCA";"3500";"2º ANDAR";"SAGUACÚ";"Joinville";"SC";"89221009";"47";"34334828";"34334828";"odontofama@zaz.com.br";"SERGIO PINTO FERNANDES";"SOCIO ADMINISTRADOR";6;"2001-04-24";"2013-08-26";"Liquidação Extrajudicial"
"324809";"02704835000158";"MASSA FALIDA DE OPERADORA DE PLANOS DE SAUDE SANTA GENOVEVA S/S LTDA";"SAUDE SANTA GENOVEVA";"Medicina de Grupo";"AVENIDA JOÃO LEITE";"489";"QD. 77 LT. 47";"SETOR GENOVEVA";"Goiânia";"GO";"74670040";"62";"32649039";"32649343";"nara@santagenoveva.com.br";"FRANCISCO LUDOVICO DE ALMEIDA FILHO";"SOCIO PROPRIETARIO";6;"1998-12-23";"2015-02-03";"Liquidação Extrajudicial"
"412171";"03516381000154";"MASSA FALIDA DE OPERADORA IDEAL SAUDE LTDA";"OPERADORA IDEAL SAUDE LTDA.";"Medicina de Grupo";"RUA JUSTINO GOMES DA SILVA";"80";"SALA 02";"MANOEL SIMÕES BARBOSA";"Chã Grande";"PE";"55636000";"81";"35371065";"32314699";"idealsaude@idealsaude.com";"EULERSON BOTELHO";"SÓCIO";5;"2000-09-12";"2013-04-01";"Liquidação Extrajudicial"
"414514";"34598367000170";"MASSA FALIDA DE P. Y. SAUDE LTDA";"NIPPON SAÚDE";"Medicina de Grupo";"AV.ALMIRANTE BARROSO";"2068";;"MARCO";"Belém";"PA";"66095020";"91";"32765648";"32765648";"nipponsaude@ig.com.br";"LUIZ FERNANDO CORREA DE MEDEIROS";"SOCIO DIRETOR";5;"2003-04-04";"2007-04-20";"Liquidação Extrajudicial"
"411175";"03730951000104";"MASSA FALIDA DE PAX SAÚDE LTDA ";"PAX DE MINAS";"Medicina de Grupo";"RUA DOS CAETES";"186";;"CENTRO";"Belo Horizonte";"MG";"30120080";"31";"32734500";"32744580";;"WEDER DE OLIVEIRA";"SOCIO GERENTE";4;"2000-05-04";"2008-08-25";"Liquidação Extrajudicial"
"405141";"65378606000100";"MASSA FALIDA DE PLANCOR LTDA";"PLANCOR LTDA";"Medicina de Grupo";"RUA GAMA CERQUEIRA ";"103";;"CENTRO";"Cataguases";"MG";"36774009";"32";"34222000";"34211760";"plamcor@yahoo.com.br";"JAIME AFONSO SOUSA NETTO";"SÓCIO ADMINISTRADOR";5;"1999-06-17";"2012-12-18";"Liquidação Extrajudicial"
"411531";"03778376000110";"MASSA FALIDA DE PLANO RIO SAUDE LTDA ";"RIO SAUDE";"Medicina de Grupo";"GETULIO VARGAS";"64";"211";"CENTRO";"Rio Bonito";"RJ";"20091007";"21";"22068499";"242";"contabil@planoriosaude.com.br";"ITALO RENATO BARROS COSTA";"SUPERINTENDENTE";4;"2000-06-20";"2008-04-04";"Liquidação Extrajudicial"
"364941";"00721322000120";"MASSA FALIDA DE PLANOS DE SAÚDE PSMC PREVENÇÃO, SAÚDE, MEDICINA E CIRURGIA LTDA ME";"PLANOS DE SAÚDE PSMC";"Medicina de Grupo";"RUA XV DE NOVEMBRO";"1551";;"CENTRO";"Curitiba";"PR";"80060000";"41";"30785555";"30785555";"diretoria@paranasulsaude.com.br";"JOSÉ LAZZAROTO DE MELO E SOUZA";"REPRESENTANTE";4;"1999-01-12";"2015-01-05";"Liquidação Extrajudicial"
"409260";"52573789000173";"MASSA FALIDA DE PLASMMET PLANO DE SAUDE LTDA.";"PLASMMET SAUDE";"Medicina de Grupo";"AV. ENG. ARMANDO ARRUDA PEREIRA";"1165";;"JABAQUARA";"São Paulo";"SP";"04309010";"011";"50113161";"50118145";"plasmmet@terra.com.br";"ILHAN TAHA";"SOCIA ADMINISTRADORA";4;"1999-10-25";"2012-03-29";"Liquidação Extrajudicial"
"359556";"36184695000156";"MASSA FALIDA DE POLICLINICA AMHAVRE LTDA ";"AMHAVRE";"Medicina de Grupo";"RUA FERNANDO FERRARI";"87";;"RETIRO";"Volta Redonda";"RJ";"27280080";"24";"33468212";"33467470";"amhavre@veloxmail.com.br";"MARCIA REGINA LOPES FERREIRA";"ADMINISTRADORA";5;"1998-12-22";"2008-10-03";"Liquidação Extrajudicial"
"327000";"43504109000179";"MASSA FALIDA DE POLLEN - GRUPO ASSISTENCIAL POLIVALENTE";"POLLEN";"Medicina de Grupo";"AV. CONSELHEIRO CARRÃO";"2893";;"VILA CARRÃO";"São Paulo";"SP";"03403002";"11";"22937382";;"pollennemail@gmail.com";"HIROSHI TAKAHASHI";"DIRETOR";4;"1999-01-18";"2011-08-05";"Liquidação Extrajudicial"
"318027";"32638488000173";"MASSA FALIDA DE PREVINA ADMINISTRADORA DE SERV. MÉDICOS LTDA.";"PREVINA";"Medicina de Grupo";"RUA RAIMUNDO TABIREZA";"47";;"CENTRO";"Dias d'Ávila";"BA";"42850000";"71";"21057000";"712778411";;"ALVARO MARCOS DE AGUIAR";"SOCIO DIRETOR";5;"1998-12-23";"2007-04-04";"Liquidação Extrajudicial"
"412643";"90383159000125";"MASSA FALIDA DE PROMED ASSISTENCIA E SAUDE LTDA";"PROMED ASSISTENCIA E SAUDE";"Medicina de Grupo";"RUA DOS ANDRADAS";"860";"CONJ 301";"CENTRO";"Porto Alegre";"RS";"90020006";"51";"32214558";"32214176";"promedrs@terra.com.br";"ORESTES MANFRO CRUZ";"ADMINISTRADOR";4;"2000-11-16";"2014-05-20";"Liquidação Extrajudicial"
"403849";"00078591000110";"MASSA FALIDA DE PRONTOMED ASSISTÊNCIA MEDICA LTDA.";"PRONTOMED";"Medicina de Grupo";"RUA BARÃO DO RIO BRANCO";"16";"2º ANDAR";"PASSAGEM";"Cabo Frio";"RJ";"28906170";"22";"28906170";"26451529";"prontomed@veloxmail.com.br";"SERGIO DE SANT¿ANNA RAMALHO";"ADMINISTRADOR";6;"1999-04-28";"2018-03-26";"Liquidação Extrajudicial"
"379697";"02929110000168";"MASSA FALIDA DE PRÓ-SAÚDE PLANOS DE SAÚDE LTDA.";;"Medicina de Grupo";"PRAÇA DA REPUBLICA";"468";"8°ANDAR";"CENTRO";"São Paulo";"SP";"01045000";"01";"133512924";"133512924";"adileia.fagundes@samcil.com.br";"LUIZ ROBERTO SILVEIRA PINTO";"DIRETOR PRESIDENTE";4;"1999-02-01";"2011-06-01";"Liquidação Extrajudicial"
"409847";"03291767000105";"MASSA FALIDA DE QUALIMED LTDA. ";"QUALIMED";"Medicina de Grupo";"RUA TUPIS";"204";"SALA 206";"CENTRO";"Belo Horizonte";"MG";"30190060";"31";"25355150";"32229764";"qualimed@qualimedsaude.com.br";"JASSON ALVES PEREIRA JUNIOR";"DIRETOR-SÓCIO";4;"1999-11-18";"2010-04-27";"Liquidação Extrajudicial"
"406350";"01085223000161";"MASSA FALIDA DE REALMED ASSISTÊNCIA  A  SAÚDE LTDA";"REAL MED ASSISTÊNCIA  A  SAÚDE";"Medicina de Grupo";"AV. AMAZONAS";"641";"CONJUNTO/4-B";"CENTRO";"Belo Horizonte";"MG";"30180000";"31";"25353888";"25353889";"realmedbh@yahoo.com.br";"RONALDO LUIZ PEREIRA";"REPRESENTANTE LEGAL";6;"1999-07-12";"2012-01-02";"Liquidação Extrajudicial"
"410985";"02518366000182";"MASSA FALIDA DE RECIFE MERIDIONAL ASSISTÊNCIA MÉDICA LTDA.";"MERIDIONAL SAUDE";"Medicina de Grupo";"AV MARECHAL FLORIANO PEIXOTO";"66";;"CENTRO";"Paulista";"PE";"53401270";"81";"30334403";"32227509";"meridioval@saudemeridional.com.br";"RUTH ALVES CODECEIRA";"SOCIA GERENTE";5;"2000-04-13";"2013-06-10";"Liquidação Extrajudicial"
"353787";"29204211000128";"MASSA FALIDA DE RIO MED SERVIÇOS DE ASSISTENCIA MÉDICA LTDA";"RIO MED SERVIÇOS DE ASSISTÊNCIA MÉDICA LTDA";"Medicina de Grupo";"RUA JOÃO VALÉRIO";"1";;"CENTRO";"Magé";"RJ";"25900000";"21";"27292120";"26130086";;"ANDRÉ CAMPOS PANTALEÃO";"SÓCIO GERENTE";4;"1999-02-04";"2006-04-20";"Liquidação Extrajudicial"
"000027";"04518814000173";"MASSA FALIDA DE SALUTAR SAÚDE SEGURADORA S.A.";"SALUTAR";"Seguradora Especializada em Saúde";"RUA VISCONDE DE INHAÚMA ";"38";"12º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20091007";"21";"22166900";"22333461";"contato@salutarsaude.com.br";"ANA CLAÚDIA MATHIAS NAÚFE";"LIQUIDANTE EXTRAJUDICIAL";3;"2001-08-17";"2020-10-20";"Liquidação Extrajudicial"
"404951";"02312661000188";"MASSA FALIDA DE SANTA CRUZ SAÚDE LTDA.";"PAME";"Medicina de Grupo";"RUA SANTO ANTONIO";"277";;"CENTRO";"Santo Antônio de Posse";"SP";"13830000";"19";"37949114";"32533459";;"ORESTES MAZZARIOL JUNIOR";"ADMINISTRADOR";4;"1999-06-10";"2011-04-25";"Liquidação Extrajudicial"
"413798";"04324878000133";"MASSA FALIDA DE SANTA MARINA SAÚDE S/C LTDA";"SANTA MARINA SAÚDE";"Medicina de Grupo";"CALCADA DOS ANTARES";"249";"SALA 34";"CENTRO DE APOIO II";"São Paulo";"SP";"06541065";"11";"55625444";"55635000";"sms@santamarinasaude.com.br";"NILSON DE ALMEIDA";"DIRETOR";4;"2001-06-05";"2013-07-10";"Liquidação Extrajudicial"
"300926";"60538436000160";"MASSA FALIDA DE SAUDE ASSISTENCIA MEDICA INTERNACIONAL LTDA";"SAUDE INTERNACIONAL";"Medicina de Grupo";"RUA AURÉLIA ";"419";;"LAPA";"São Paulo";"SP";"05046000";"11";"2100";"38742123";"saude@saudeinternacional.com.br";"ALFREDO DONIS ROMERO";"SOCIO";4;"1998-12-17";"2015-08-31";"Liquidação Extrajudicial"
"412813";"04184021000165";"MASSA FALIDA DE SAUDE MASTER - ASSISTENCIA MEDICA A SAUDE LTDA ";"SAUDE MASTER - ASSISTENCIA MEDICA A SAUDE LTDA";"Medicina de Grupo";"RUA ANTÔNIO CARLOS";"38";;"CENTRO";"Rio Acima";"MG";"34300000";"31";"32746177";"32746177";;"ALEXANDRE CHAVES";"SOCIO";4;"2000-12-21";"2005-09-19";"Liquidação Extrajudicial"
"367729";"18272633000114";"MASSA FALIDA DE SAÚDE QUALITY LTDA.";"SAÚDE QUALITY";"Medicina de Grupo";"RUA GOVERNADOR MILTON CAMPOS";"293 - A";;"CENTRO";"Sete Lagoas";"MG";"35700010";"31";"21079004";"37733956";"cristiano@saudequality.com.br";"EVANILSON DE JESUS VIEIRA";"SÓCIO";6;"1998-12-29";"2018-02-19";"Liquidação Extrajudicial"
"320111";"02464179000163";"MASSA FALIDA DE SAÚDE SIM LTDA ";"SAÚDE SIM";"Medicina de Grupo";"AVENIDA DAS ARAUCÁRIAS";"LOTE 1835";"LOTES 1835, 1905,1955 E 2005- SALA 301- ";"ÁGUAS CLARAS ";"Brasília";"DF";"71936250";"61";"40901718";;"comunicacao@saudesim.med.br";"RAPHAEL DOS SANTOS COELHO";"SÓCIO ADMINISTRADOR";4;"1999-01-27";"2022-08-10";"Liquidação Extrajudicial"
"359751";"10930600000102";"MASSA FALIDA DE SEMEPE SERVICO MEDICO DE PERNAMBUCO LTDA";"SEMEPE";"Medicina de Grupo";"AV.  MANOEL BORBA,";"440";"/468";"BOA VISTA";"Recife";"PE";"50070000";"81";"34236938";"34230081";"gustavo@semepe.com.br";"AMAURY GOMES SANTIAGO";"DIRETOR PRESIDENTE";1;"1998-12-21";"2007-08-15";"Liquidação Extrajudicial"
"388122";"61799946000154";"MASSA FALIDA DE SERMA SERVICOS MEDICOS ASSISTENCIAIS S/A ";"SERMA ASSISTÊNCIA MÉDICA";"Medicina de Grupo";"RUA MARIA HELENA";"164";;"CENTRO";"Carapicuíba";"SP";"06320070";"011";"31592001";"31592001 ramal 2014";"administracao@serma.com.br";"LUIZ ROBERTO SILVEIRA PINTO";"SOCIO ADMINISTRADOR";4;"1998-12-29";"2011-11-21";"Liquidação Extrajudicial"
"365939";"62048558000102";"MASSA FALIDA DE SERMED SERVIÇOS HOSPITALARES S/C LTDA ";"SERMED";"Medicina de Grupo";"RUA LIBERO BADARO";"152";"14º ANDAR";"CENTRO";"São Paulo";"SP";"01008000";"11";"32937255";"32937256";"contabil_o.nagai@uol.com.br";"RICARDO JOSÉ SALIM";"SÓCIO-GERENTE";4;"1998-12-18";"2009-12-29";"Liquidação Extrajudicial"
"342505";"28553121000180";"MASSA FALIDA DE SERMEDE SERVIÇO MÉDICO E DENTÁRIO LTDA";"SERMEDE SERVIÇO MÉDICO E DENTÁRIO LTDA.";"Medicina de Grupo";"RUA DOUTOR FRANCISCO PORTELA";"2796";"CASA";"CAMARÃO";"São Gonçalo";"RJ";"24436805";"21";"26254335";"26254335";"cpd@sermede.com.br";"ARNALDO MARIO SABROSO RUIZ";"SÓCIO GERENTE";6;"1998-12-17";"2014-06-17";"Liquidação Extrajudicial"
"333735";"88921317000101";"MASSA FALIDA DE SERVIMED - SERVIÇO DE ASSISTÊNCIA MÉDICA LTDA";"CLINICAS REUNIDAS";"Medicina de Grupo";"RUA FARRAPOS";"295";;"FLORESTA";"Porto Alegre";"RS";"90220000";"51";"30121000";"32288011";;"DANIEL SILVA CASCO";"PROCURADOR";4;"1998-12-28";"2012-10-29";"Liquidação Extrajudicial"
"357685";"62574884000145";"MASSA FALIDA DE SERVIÇO DE ASSISTÊNCIA MÉDICA AO SERVIDOR PÚBLICO S/C LTDA";"SAMESP";"Medicina de Grupo";"AVENIDA SÃO LUIZ ";"50";"CONJ. 71 E";"CENTRO";"São Paulo";"SP";"01046000";"11";"32598955";"32598955";"presidencia@samesp.com.br";"MARIO RUAS COSTA";"DIRETOR PRESIDENTE";5;"1999-01-05";"2012-07-11";"Liquidação Extrajudicial"
"314374";"10941664000109";"MASSA FALIDA DE SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA";"SAME";"Medicina de Grupo";"PRAÇA DA BANDEIRA";"74";;"MADALENA";"Recife";"PE";"50720565";"81";"32310443";"32310443";"smatheus@otimizanet.com.br";"OSWALDO NASCIMENTO COSTA";"DIRETOR";;"1999-01-08";"2009-08-27";"Liquidação Extrajudicial"
"408913";"28657336000140";"MASSA FALIDA DE SERVIÇO DE ASSITÊNCIA MÉDICA & INTEGRADOS DIAGNÓSTICOS LTDA";"SAÚDE.COM";"Medicina de Grupo";"RUA URUGUAIANA";"55";"SALA 1009 E 1010";"CENTRO";"Rio de Janeiro";"RJ";"20050094";"21";"2224631";;"NÃO POSSUI";"WILMA CARDOSO";"REPRESENTANTE LEGAL";4;"1999-10-13";"2012-04-18";"Liquidação Extrajudicial"
